u_id,username,email,password,name,dob,gender,date_created,points,avatar
11,sophia326,thompsonsophia326@mail.com,$2a$10$cMcucwg0iUzA0glenhYwwuF8l/regtpI48fcfWTvd65TbLkjkyywa,Sophia Thompson,2000-05-13,Female,2025-04-08 20:43:18,547000,/images/avatar6.png
12,willow822,thompsonwillow822@mail.com,$2a$10$.pIUkEgm/wJL6J6KIDYPruHIg/cWSwXZRPUM7aOsrG8sby7HMoWFa,Willow Thompson,1993-08-13,Female,2025-04-28 12:48:10,434000,/images/avatar1.png
13,gabriel756,taylorgabriel756@example.com,$2a$10$HFiX9nsOfFYQib9y45AYXOHmlGRP1M53FUBz2brSgnxdZw1MlBFsu,Gabriel Taylor,1986-10-14,Male,2025-02-03 15:28:10,477000,/images/avatar6.png
14,jaxon512,wrightjaxon512@mail.com,$2a$10$bTOMBNMSctzfFu.BykD/x.z6yCrTWmPsuEQptkHWLAlJd/YSYy3R6,Jaxon Wright,1998-07-15,Male,2025-03-18 07:40:50,463000,/images/avatar2.png
15,aria759,daviesaria759@example.com,$2a$10$XvLwyyHvr.igxSaxuOA1mePz4SsSk6PIE5hZEw7vYVvqJ1yoLxABu,Aria Davies,1993-02-25,Female,2025-03-13 23:15:15,470000,/images/avatar3.png
16,lucas730,smithlucas730@mail.com,$2a$10$WNr4JXmhKLj6v78ZbRG53u1rFZNHM78Iaexzbbn0v6ay/qHjuEsvu,Lucas Smith,1999-02-12,Other,2025-01-02 20:28:20,461000,/images/avatar1.png
17,roman561,whiteroman561@example.com,$2a$10$2sNpAKqaqrgffYEmfH8beOF3jjz1tMocnD992uB7fXFaPDFYE6B8G,Roman White,1995-01-23,Male,2025-05-29 23:57:31,511000,/images/avatar1.png
18,alyssa948,daviesalyssa948@mail.com,$2a$10$r4C5/gciFu6bMPnhQayyVuMLUiWo6CExhBpYpJJK9PhEtyBgV5Gki,Alyssa Davies,1982-10-06,Female,2025-04-14 16:00:35,454000,/images/avatar4.png
19,elias129,walkerelias129@example.com,$2a$10$vMOkfIW1.kz0IOnDk0wvq.un5xlVBJbzZHQhcwiQmT0HGVJjJaJSW,Elias Walker,1996-05-22,Male,2025-05-24 13:41:11,474000,/images/avatar6.png
20,weston700,jonesweston700@mail.com,$2a$10$3TcQuwjNOWqJu3BsUZSZ5ONXg.2I7rxwv5rwHf48DyPu6aHmbv19a,Weston Jones,2004-01-07,Male,2025-01-22 07:09:01,479000,/images/avatar1.png
21,michael399,johnsonmichael399@mail.com,$2a$10$LHo.ccvBEmV78MHDhcaA2.AhTlzUPbVdA0K1QfitNR8uAFJ0J4P0m,Michael Johnson,1990-07-16,Male,2025-03-10 22:34:15,478000,/images/avatar4.png
22,grace139,evansgrace139@example.com,$2a$10$1NUy7rIARQBbtuW2j1vroO1fUJLuIDoIoNr67Emv5AobPRQut6RUC,Grace Evans,1982-01-31,Female,2025-03-02 21:42:39,477000,/images/avatar3.png
23,violet946,robertsviolet946@mail.com,$2a$10$qP9nuuwt1S0tL81Gis3TNeqd745zP8TPYsgynaRvpbQvjKgTZrlKm,Violet Roberts,1995-02-27,Female,2025-03-30 06:23:36,473000,/images/avatar4.png
24,logan708,johnsonlogan708@example.com,$2a$10$0RlYGn.n3iXK1uvooVnv/uEF/ANp12d9ozSmrXk1QYMz8hOXj85tC,Logan Johnson,2004-07-14,Male,2025-02-14 06:09:49,433000,/images/avatar6.png
25,gabriel472,thompsongabriel472@mail.com,$2a$10$j1cIvb4KMzk0qGq3fE5seO7B.9Ff3/.djKxU7dEnm5FfdbT/uStIG,Gabriel Thompson,2004-10-25,Male,2025-01-03 23:00:56,422000,/images/avatar5.png
26,grace669,daviesgrace669@mail.com,$2a$10$TtsWM2J3jnCuLqkrHMKmpOb4rzW2hXWTk.lDn92IV/MVRTEuZnmd2,Grace Davies,1981-04-17,Female,2025-01-10 04:45:05,477000,/images/avatar6.png
27,amelia926,robertsamelia926@example.com,$2a$10$zwQrcZqrCxExjskiGT1vMeibpHsAZtPlKsWyn7pN5nsg3BX8xA99a,Amelia Roberts,1981-05-18,Female,2025-03-01 00:54:19,495000,/images/avatar4.png
28,theo259,taylortheo259@mail.com,$2a$10$qPTcfU5AxR5gjJGOf4BVL.FnP2urKzSrguH9xh2shHYuKe/LZK2v2,Theo Taylor,1988-07-26,Male,2025-01-08 17:46:01,471000,/images/avatar2.png
29,scarlett740,brownscarlett740@mail.com,$2a$10$e5cWFshkiigoCstemA.uzesCEyt1D3FyeFwqKw9oMp5/4XRLb0Gga,Scarlett Brown,2000-12-24,Female,2025-01-28 19:42:33,452000,/images/avatar6.png
30,mia191,wilsonmia191@example.com,$2a$10$djwP/DooZLhoMyXq77Km5O9HpB7qpyo5PYtL.67nMRdCmMpsm5vyG,Mia Wilson,1995-11-12,Other,2025-04-05 11:44:05,448000,/images/avatar5.png
31,aria729,thompsonaria729@mail.com,$2a$10$tTYtAgVmJyTvJ8W3IfQ9M.LkGqNZ7JQah6Zrgx4dElCWEtbE4T4DG,Aria Thompson,1989-06-01,Female,2025-02-11 15:45:37,530000,/images/avatar4.png
32,aubrey164,daviesaubrey164@example.com,$2a$10$0pxxzzT.EaANtnZWt8JA7O7iYFs.zLWxPs/j.3SREqpWtdV04ny2a,Aubrey Davies,1992-10-23,Female,2025-02-13 20:09:28,484000,/images/avatar7.png
33,logan124,taylorlogan124@mail.com,$2a$10$B/0UWNVQ5Sg5ONKv1SOjt.y0Nm4EA9BOdio5lwfxarg8hXDzzov9a,Logan Taylor,1996-04-30,Male,2025-03-22 05:54:20,471000,/images/avatar3.png
34,hazel219,wilsonhazel219@mail.com,$2a$10$PbYC9ylcuoLCgZad3LZaXeeO2m8zEH8xe2ZLEzGFpP/9/XKi769.q,Hazel Wilson,1994-07-05,Female,2025-01-17 11:38:55,506000,/images/avatar7.png
35,emma777,jonesemma777@example.com,$2a$10$A7x6o7NYpLemmamizFRhp.BbhhzPNywtSyc6czUJY4PLD/4BteeAe,Emma Jones,1981-09-06,Female,2025-01-27 22:19:13,511000,/images/avatar6.png
36,gabriel498,browngabriel498@example.com,$2a$10$Pw8nG9O/d/AtvI.kDqHkzOOZH4f48k/335uIMEkODe5Rp7iB5RtSe,Gabriel Brown,1990-08-23,Male,2025-02-16 03:32:54,506000,/images/default_avatar.png
37,violet765,williamsviolet765@example.com,$2a$10$DTpI8o5qXICe4CFcS7njke5UgLxeSizPNjkO/wV7.OrpOnXwrZBai,Violet Williams,1984-09-02,Female,2025-01-08 17:53:26,540000,/images/avatar1.png
38,joseph227,evansjoseph227@example.com,$2a$10$.rwCOQU9KHZvw8ZVo5XDXed61iB0HnAALWtL.urv9Hwq1tuiQ4IQO,Joseph Evans,2003-07-10,Other,2025-02-05 01:20:54,471000,/images/avatar3.png
39,stella872,wrightstella872@mail.com,$2a$10$4LpIyUFCTASu.eKgrnEhpuJN4TqzTvXmGIDCTkoQJI8AavUB2h9JS,Stella Wright,1989-11-23,Female,2025-01-22 22:26:56,475000,/images/avatar6.png
40,weston162,robinsonweston162@example.com,$2a$10$enuPWHh5UfBW/xR/82xJV.Ug.pdq/o/f6xESt.9Ow60J4PTbz/kni,Weston Robinson,1981-07-24,Other,2025-05-17 11:12:01,501000,/images/avatar2.png
41,ezra188,thompsonezra188@example.com,$2a$10$wWTU5XZrrLJi2/l.hCDs1.uExPjO/1qdSo0m70eYmUAnWkob4QDvq,Ezra Thompson,2004-04-27,Male,2025-03-30 21:03:44,538000,/images/avatar7.png
42,lucas706,wrightlucas706@example.com,$2a$10$ohHiHmwLiVq95X6CS7xmWuxpLJLzI89m2jCFPVSi50XbCCKXX7lD6,Lucas Wright,1990-09-03,Male,2025-02-03 01:14:59,479000,/images/avatar5.png
43,eva140,wrighteva140@mail.com,$2a$10$Cki9xqJ6vkCcLDxXzRS15.StGDVdN7Iat83pIc/fRIUOLLwpO5OJq,Eva Wright,1999-01-18,Other,2025-01-20 09:12:47,497000,/images/avatar6.png
44,hazel207,thomashazel207@example.com,$2a$10$pluDMcSRiYQKWensoPaloutJdWIRFRON88zHp9eMmLT6zKWvKT0/K,Hazel Thomas,1993-08-31,Female,2025-05-24 16:04:43,443000,/images/avatar5.png
45,mia749,jonesmia749@example.com,$2a$10$WUNw.aMgKXZQCH0aWDZSse9/5thpWrS8fFhOVblnYJtW4/Sg09OE6,Mia Jones,1996-08-03,Female,2025-04-10 14:57:12,440000,/images/avatar7.png
46,piper255,thomaspiper255@mail.com,$2a$10$rf7GN4l5UaD9Zfi0sAFOdOawCzZkAElchB07dKovDMOt/F5s3l7IS,Piper Thomas,1993-04-11,Female,2025-01-22 18:15:12,440000,/images/avatar3.png
47,alexander480,brownalexander480@example.com,$2a$10$JzvuRj66svIEswa.kse9f..DAjiUJUvAefyxSY3I1VhqZipbG.uIy,Alexander Brown,1989-09-29,Male,2025-03-19 01:07:49,483000,/images/avatar7.png
48,aubrey762,evansaubrey762@example.com,$2a$10$NQRoS9UHXdAKVgtXSziVPu38muWcq2ghGASb4H5k4DUbUQwKYUbN.,Aubrey Evans,1997-10-16,Female,2025-02-13 02:46:14,465000,/images/avatar6.png
49,olivia132,robinsonolivia132@mail.com,$2a$10$HfykutEfWKYinXUQvOXx2u1/LeUQ/axR82tXelpzrVzplXZ1l/fFu,Olivia Robinson,1988-05-05,Other,2025-03-15 19:29:26,515000,/images/avatar2.png
50,penelope984,walkerpenelope984@mail.com,$2a$10$CbolnuRHUdyLWce0qEMB2uYqPzsh7AtHEjkas8E2RJWS6TcbjJp8W,Penelope Walker,1997-07-08,Other,2025-06-03 01:03:46,485000,/images/default_avatar.png
